"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"55",26,"1979",1,3,2,2,2,68
"60",26,"1979",1,1,2,2,2,68
"104",28,"1979",2,1,2,2,2,65
"197",26,"1979",2,2,2,2,2,64
"240",21,"1979",1,1,2,2,2,64
"479",6,"1979",1,1,2,2,2,68
"499",6,"1979",3,2,2,2,2,64
"911",15,"1979",1,2,2,2,2,68
"982",3,"1979",3,1,2,2,2,68
"995",39,"1979",1,3,2,2,2,64
"1104",39,"1979",2,2,2,2,2,65
"1191",29,"1979",3,1,2,2,2,65
"1292",17,"1979",5,98,2,2,2,65
"1349",24,"1979",1,1,2,2,2,63
"1415",35,"1979",1,1,2,2,2,65
"1416",35,"1979",1,1,2,2,2,68
"1909",26,"1979",1,2,2,2,2,68
"1924",28,"1979",3,2,2,2,2,65
"1925",28,"1979",3,2,2,2,2,68
"1995",21,"1979",3,1,2,2,2,65
"2071",16,"1979",4,2,2,2,2,65
"2218",12,"1979",1,3,2,2,2,68
"2380",10,"1979",4,98,2,2,2,68
"2492",3,"1979",2,98,2,2,2,64
"2500",3,"1979",3,1,2,2,2,68
"2501",3,"1979",3,1,2,2,2,67
"2504",3,"1979",2,98,2,2,2,68
"2545",33,"1979",1,1,2,2,2,68
"2742",24,"1979",2,2,2,2,2,64
"2779",24,"1979",1,3,2,2,2,68
"3076",21,"1979",1,3,2,2,2,62
"3084",21,"1979",2,1,2,2,2,63
"3096",21,"1979",2,4,2,2,2,65
"3166",26,"1979",2,98,2,2,2,64
"3236",26,"1979",1,1,2,2,2,62
"3237",26,"1979",1,1,2,2,2,62
"3248",26,"1979",1,2,2,2,2,65
"3275",26,"1979",1,1,2,2,2,64
"3276",26,"1979",1,1,2,2,2,65
"3278",26,"1979",1,1,2,2,2,68
"3548",4,"1979",3,1,2,2,2,64
"3622",21,"1979",1,1,2,2,2,64
"3648",21,"1979",1,1,2,2,2,67
"3651",21,"1979",1,1,2,2,2,65
"3690",21,"1979",1,2,2,2,2,64
"3697",21,"1979",1,1,2,2,2,65
"3960",21,"1979",1,5,2,2,2,67
"4057",22,"1979",1,1,2,2,2,67
"4061",22,"1979",1,2,2,2,2,68
"4104",16,"1979",1,2,2,2,2,68
"4105",16,"1979",1,2,2,2,2,68
"4107",16,"1979",1,1,2,2,2,68
"4336",32,"1979",1,1,2,2,2,64
"4417",8,"1979",2,2,2,2,2,64
"4423",8,"1979",1,1,2,2,2,60
"4433",8,"1979",1,1,2,2,2,65
"4457",8,"1979",1,1,2,2,2,65
"4550",6,"1979",1,3,2,2,2,68
"4551",6,"1979",1,3,2,2,2,64
"4552",6,"1979",1,3,2,2,2,64
"4553",6,"1979",1,3,2,2,2,68
"4587",6,"1979",1,98,2,2,2,63
"4598",6,"1979",1,1,2,2,2,68
"4601",6,"1979",2,1,2,2,2,68
"4604",6,"1979",1,1,2,2,2,60
"4609",6,"1979",2,2,2,2,2,64
"4610",6,"1979",2,2,2,2,2,65
"4611",6,"1979",1,1,2,2,2,64
"4617",6,"1979",2,3,2,2,2,64
"4622",6,"1979",1,1,2,2,2,65
"4629",6,"1979",1,1,2,2,2,68
"4641",6,"1979",2,98,2,2,2,64
"4642",6,"1979",1,1,2,2,2,64
"4648",6,"1979",1,1,2,2,2,64
"4681",12,"1979",1,2,2,2,2,64
"4696",12,"1979",1,5,2,2,2,67
"4905",12,"1979",2,1,2,2,2,65
"4909",12,"1979",2,1,2,2,2,68
"4961",12,"1979",2,1,2,2,2,65
"4988",12,"1979",1,1,2,2,2,64
"5103",7,"1979",1,4,2,2,2,64
"5349",18,"1979",2,1,2,2,2,65
"5399",18,"1979",1,2,2,2,2,65
"5436",14,"1979",1,2,2,2,2,65
"5560",10,"1979",2,1,2,2,2,68
