"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"246",21,"1979",1,98,1,1,2,64
"516",6,"1979",4,1,1,1,2,64
"543",12,"1979",3,2,1,1,2,68
"544",12,"1979",3,2,1,1,2,68
"893",15,"1979",2,4,1,1,2,60
"898",15,"1979",1,2,1,1,2,65
"1082",39,"1979",1,2,1,1,2,65
"1083",39,"1979",1,2,1,1,2,65
"1645",34,"1979",5,1,1,1,2,62
"1647",34,"1979",5,1,1,1,2,65
"1648",34,"1979",5,1,1,1,2,68
"1806",17,"1979",2,2,1,1,2,65
"1856",21,"1979",1,2,1,1,2,64
"2157",6,"1979",2,98,1,1,2,64
"2158",6,"1979",2,98,1,1,2,64
"2845",31,"1979",1,98,1,1,2,65
"3014",17,"1979",2,4,1,1,2,67
"3047",17,"1979",2,3,1,1,2,64
"3086",21,"1979",1,3,1,1,2,64
"3652",21,"1979",1,1,1,1,2,64
"3785",21,"1979",2,1,1,1,2,64
"4486",6,"1979",2,1,1,1,2,65
"4490",6,"1979",2,1,1,1,2,62
"4509",6,"1979",1,2,1,1,2,65
"4541",6,"1979",1,98,1,1,2,67
"4542",6,"1979",1,98,1,1,2,67
"4543",6,"1979",1,98,1,1,2,67
"4585",6,"1979",2,98,1,1,2,62
"5024",9,"1979",2,1,1,1,2,68
"5373",18,"1979",3,2,1,1,2,68
"5375",18,"1979",2,1,1,1,2,68
"5526",10,"1979",1,3,1,1,2,68
"6245",33,"1979",1,3,1,1,2,65
"6254",33,"1979",1,2,1,1,2,65
"6257",33,"1979",1,2,1,1,2,65
"6259",33,"1979",1,1,1,1,2,65
"6744",11,"1979",1,2,1,1,2,68
"6909",29,"1979",3,1,1,1,2,65
"7090",17,"1979",2,1,1,1,2,62
"7091",17,"1979",2,1,1,1,2,65
"7094",17,"1979",2,1,1,1,2,65
"7096",17,"1979",1,2,1,1,2,65
"7317",24,"1979",1,5,1,1,2,67
"7377",35,"1979",1,2,1,1,2,65
"7378",35,"1979",1,2,1,1,2,68
"7379",35,"1979",1,2,1,1,2,68
"7421",30,"1979",1,3,1,1,2,68
"7514",30,"1979",1,3,1,1,2,68
"7953",34,"1979",2,1,1,1,2,60
"8074",34,"1979",2,2,1,1,2,67
"8089",34,"1979",1,3,1,1,2,68
"8410",1,"1979",1,4,1,1,2,65
"8471",17,"1979",2,2,1,1,2,65
"8520",17,"1979",1,98,1,1,2,68
"8559",17,"1979",1,3,1,1,2,68
"8581",17,"1979",2,2,1,1,2,68
"9223",21,"1979",1,1,1,1,2,64
"9283",21,"1979",1,3,1,1,2,65
"9405",20,"1979",4,2,1,1,2,63
"9830",6,"1979",1,3,1,1,2,64
"9831",6,"1979",1,3,1,1,2,63
"10040",12,"1979",1,3,1,1,2,68
"10041",12,"1979",1,3,1,1,2,68
"10524",10,"1979",1,5,1,1,2,68
"10711",15,"1979",1,3,1,1,2,65
"10942",33,"1979",1,3,1,1,2,68
"10956",33,"1979",1,5,1,1,2,68
"10963",33,"1979",1,3,1,1,2,67
"10967",33,"1979",1,1,1,1,2,68
"11507",17,"1979",3,2,1,1,2,63
"11549",17,"1979",3,1,1,1,2,64
"11551",17,"1979",4,1,1,1,2,64
"11827",30,"1979",1,1,1,1,2,68
"11931",31,"1979",0,2,1,1,2,68
"11932",31,"1979",0,2,1,1,2,67
"12142",34,"1979",1,98,1,1,2,63
"12570",17,"1979",1,2,1,1,2,63
"12665",21,"1980",2,2,1,1,2,64
"12689",21,"1980",3,5,1,1,2,68
"12718",21,"1980",1,3,1,1,2,64
"13382",21,"1980",1,3,1,1,2,64
"13482",21,"1980",2,1,1,1,2,64
"13796",22,"1980",1,5,1,1,2,63
"14522",6,"1980",2,98,1,1,2,64
"14578",6,"1980",2,3,1,1,2,68
"14608",6,"1980",2,98,1,1,2,65
"14611",6,"1980",1,2,1,1,2,65
"15420",14,"1980",1,3,1,1,2,68
"16163",33,"1980",1,2,1,1,2,64
"16189",33,"1980",2,2,1,1,2,68
"16214",33,"1980",1,1,1,1,2,68
"16216",33,"1980",1,2,1,1,2,68
"16349",39,"1980",1,3,1,1,2,64
"16982",17,"1980",1,2,1,1,2,64
"17022",17,"1980",3,98,1,1,2,64
"17078",17,"1980",3,1,1,1,2,65
"17236",24,"1980",2,98,1,1,2,64
"17414",35,"1980",3,3,1,1,2,68
"17416",35,"1980",3,3,1,1,2,68
"17701",31,"1980",3,2,1,1,2,68
"17853",37,"1980",2,1,1,1,2,65
"17854",37,"1980",2,1,1,1,2,68
"18182",34,"1980",1,1,1,1,2,68
"18208",34,"1980",2,1,1,1,2,68
"18376",1,"1980",1,2,1,1,2,68
"18377",1,"1980",1,2,1,1,2,68
"18398",1,"1980",1,5,1,1,2,67
"18479",1,"1980",1,4,1,1,2,68
"18480",1,"1980",1,4,1,1,2,68
"18572",17,"1980",1,1,1,1,2,65
"18585",17,"1980",1,3,1,1,2,64
"18586",17,"1980",1,3,1,1,2,64
"18587",17,"1980",1,3,1,1,2,64
