"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"4",21,"1979",1,1,1,2,2,64
"9",21,"1979",1,2,1,2,2,64
"17",21,"1979",3,2,1,2,2,64
"38",26,"1979",1,3,1,2,2,68
"39",26,"1979",1,1,1,2,2,68
"55",26,"1979",1,3,2,2,2,68
"60",26,"1979",1,1,2,2,2,68
"77",26,"1979",2,1,1,2,2,68
"78",26,"1979",2,1,1,2,2,65
"83",26,"1979",4,1,1,2,2,68
"104",28,"1979",2,1,2,2,2,65
"114",28,"1979",4,2,1,2,2,64
"170",4,"1979",1,2,1,2,2,68
"193",4,"1979",1,2,1,2,2,64
"197",26,"1979",2,2,2,2,2,64
"240",21,"1979",1,1,2,2,2,64
"254",21,"1979",1,1,1,2,2,64
"291",21,"1979",1,2,1,2,2,62
"292",21,"1979",1,2,1,2,2,67
"302",20,"1979",1,3,1,2,2,65
"368",19,"1979",2,3,1,2,2,68
"392",19,"1979",3,2,1,2,2,68
"402",19,"1979",1,3,1,2,2,64
"415",32,"1979",4,2,1,2,2,65
"471",8,"1979",2,2,1,2,2,64
"472",8,"1979",2,2,1,2,2,64
"479",6,"1979",1,1,2,2,2,68
"499",6,"1979",3,2,2,2,2,64
"516",6,"1979",4,1,1,1,2,64
"543",12,"1979",3,2,1,1,2,68
"544",12,"1979",3,2,1,1,2,68
"548",12,"1979",3,3,1,2,2,64
"550",12,"1979",3,3,1,2,2,68
"578",12,"1979",1,3,1,2,2,68
"579",12,"1979",1,3,1,2,2,68
"618",12,"1979",7,3,1,2,2,65
"622",12,"1979",7,3,1,2,2,65
"655",9,"1979",2,1,1,2,2,68
"668",7,"1979",1,3,1,2,2,67
"698",32,"1979",1,3,1,2,2,68
"699",32,"1979",1,3,1,2,2,68
"700",32,"1979",1,3,1,2,2,68
"747",18,"1979",2,2,1,2,2,68
"748",18,"1979",4,1,1,2,2,68
"761",14,"1979",2,2,1,2,2,65
"841",2,"1979",5,2,1,2,2,68
"842",2,"1979",5,2,1,2,2,68
"867",15,"1979",2,2,1,2,2,68
"874",15,"1979",1,3,1,2,2,67
"895",15,"1979",1,2,1,2,2,68
"898",15,"1979",1,2,1,1,2,65
"911",15,"1979",1,2,2,2,2,68
"916",15,"1979",1,3,1,2,2,68
"934",15,"1979",3,2,1,2,2,68
"937",15,"1979",3,2,1,2,2,68
"951",3,"1979",1,1,1,2,2,68
"959",3,"1979",3,3,1,2,2,65
"982",3,"1979",3,1,2,2,2,68
"986",3,"1979",1,3,1,2,2,64
"995",39,"1979",1,3,2,2,2,64
"1082",39,"1979",1,2,1,1,2,65
"1083",39,"1979",1,2,1,1,2,65
"1099",39,"1979",2,1,1,2,2,64
"1104",39,"1979",2,2,2,2,2,65
"1130",38,"1979",2,2,1,2,2,65
"1191",29,"1979",3,1,2,2,2,65
"1206",29,"1979",4,3,1,2,2,68
"1207",29,"1979",4,3,1,2,2,65
"1208",29,"1979",4,3,1,2,2,65
"1213",29,"1979",4,3,1,2,2,67
"1229",29,"1979",3,2,1,2,2,65
"1235",29,"1979",4,2,1,2,2,65
"1272",17,"1979",2,2,1,2,2,68
"1320",35,"1979",2,2,1,2,2,65
"1349",24,"1979",1,1,2,2,2,63
"1366",35,"1979",4,1,1,2,2,68
"1367",35,"1979",4,1,1,2,2,68
"1368",35,"1979",4,1,1,2,2,67
"1385",35,"1979",4,1,1,2,2,64
"1387",35,"1979",4,1,1,2,2,68
"1415",35,"1979",1,1,2,2,2,65
"1416",35,"1979",1,1,2,2,2,68
"1422",24,"1979",1,3,1,2,2,68
"1445",30,"1979",2,3,1,2,2,68
"1475",31,"1979",1,1,1,2,2,67
"1476",31,"1979",1,1,1,2,2,67
"1477",31,"1979",1,1,1,2,2,68
"1484",36,"1979",1,2,1,2,2,68
"1492",36,"1979",3,2,1,2,2,68
"1493",36,"1979",3,2,1,2,2,64
"1502",36,"1979",1,3,1,2,2,67
"1507",36,"1979",1,3,1,2,2,68
"1535",36,"1979",1,3,1,2,2,67
"1546",36,"1979",2,2,1,2,2,67
"1547",36,"1979",2,2,1,2,2,67
"1549",36,"1979",2,2,1,2,2,68
"1552",36,"1979",2,3,1,2,2,67
"1595",37,"1979",3,3,1,2,2,68
"1629",34,"1979",2,3,1,2,2,68
"1645",34,"1979",5,1,1,1,2,62
"1647",34,"1979",5,1,1,1,2,65
"1648",34,"1979",5,1,1,1,2,68
"1665",27,"1979",2,3,1,2,2,65
"1671",27,"1979",5,1,1,2,2,65
"1675",27,"1979",1,3,1,2,2,68
"1706",1,"1979",1,2,1,2,2,68
"1722",1,"1979",2,3,1,2,2,68
"1744",1,"1979",1,2,1,2,2,65
"1762",17,"1979",2,3,1,2,2,65
"1763",17,"1979",2,1,1,2,2,60
"1774",17,"1979",1,2,1,2,2,67
"1803",17,"1979",2,1,1,2,2,68
"1806",17,"1979",2,2,1,1,2,65
"1856",21,"1979",1,2,1,1,2,64
"1880",26,"1979",2,2,1,2,2,64
"1909",26,"1979",1,2,2,2,2,68
"1912",28,"1979",3,2,1,2,2,65
"1924",28,"1979",3,2,2,2,2,65
"1925",28,"1979",3,2,2,2,2,68
"1946",4,"1979",4,1,1,2,2,64
"1969",26,"1979",3,3,1,2,2,65
"1970",26,"1979",3,3,1,2,2,68
"1975",21,"1979",1,2,1,2,2,64
"1982",21,"1979",1,3,1,2,2,64
"1983",21,"1979",1,3,1,2,2,64
"1984",21,"1979",1,3,1,2,2,64
"1995",21,"1979",3,1,2,2,2,65
"2071",16,"1979",4,2,2,2,2,65
"2188",12,"1979",1,1,1,2,2,68
"2201",12,"1979",2,3,1,2,2,65
"2218",12,"1979",1,3,2,2,2,68
"2245",9,"1979",3,1,1,2,2,64
"2252",9,"1979",1,3,1,2,2,64
"2279",7,"1979",3,1,1,2,2,68
"2280",7,"1979",3,1,1,2,2,65
"2291",16,"1979",1,2,1,2,2,64
"2297",16,"1979",2,3,1,2,2,68
"2341",12,"1979",1,3,1,2,2,68
"2343",12,"1979",1,3,1,2,2,68
"2360",18,"1979",1,2,1,2,2,68
