"","summary","date","country"
"1","Article on debate between Police Benevolent Assn and new County Exec Thomas Suozzi over what impact, if any, September 11 terrorist attacks had on crime rate in Nassau County, NY; Suozzi, seeking to close budget gap, wants $30 million in concessions from union, including cutting 300 officers from force; union president Gary DelaRaba holds low crime rate is result of size of current force; graph (M)",2002,FALSE
"2","Government officials say that it was Mukhtar al-Bakri's presence in Bahrain at crucial time--Sept 10, eve of anniversary of terrorist attacks--that led to his arrest rather than any overt act or knowledge of unfolding plot; authorities were fearful of new strike; authorities say they had their eye on Bakri, Yemeni-American, for at least two months because of his phone calls and e-mail correspondence with Kamal Derwish, who they believe is recruiter for Al Qaeda (M)",2002,FALSE
"3","New York City Parks and Recreation Dept will deploy crews to check whether all city park lavatories are locked each day after gang-rape of woman in Lincoln Terrace Park, Brooklyn, lavatory; other safety measures noted; police sketches of three suspects (M)",2002,FALSE
"4","Raymond W Kelly, New York City's police commissioner under Mayor David N Dinkins, reportedly accepts Mayor-elect Michael R Bloomberg's offer to return as his police commissioner; served as adviser to Bloomberg on law enforcement issues during mayoral campaign; laid out in recent interview some principles that would guide Police Department under Bloomberg administration; spoke of building on crime-fighting successes of Giuliani years while working to improve police-community relations; photo (M)",2001,FALSE
"5","Homeless people, whose presence seemed to decline during flush years of Giuliani administration, are suddenly more visible in New York City, but city officials insist problem is more one of perception than of reality; officials say they will conduct annual census of street population so real data will be available to deal with problem; advocates for city's poor insist weak economy and growing lack of supportive housing for homeless who are mentally ill have led to increase in number of people sleeping in streets; say average number of single adults in city shelters is 7,728 per night, highest since 1991; say soup kitchens and feeding vans are reporting crowds not seen since late 1980's, when number of city's homeless peaked; reports of increasing homelessness have alarmed business coalitions and city officials, and police commanders in Manhattan below 59th Street have drawn up plans to address any homeless encampments swiftly; Bloomberg administration officials say there has been no change in policy dealing with homeless and no lesser effort to disperse them from streets than under Mayor Rudolph W Giuliani; graph (M)",2002,FALSE
"7","Political leaders and police investigators across Europe conclude that threat of terrorism from Al Qaeda and other radical Islamic groups is more serious than they have assumed and may take years to neutralize; say recent investigations have uncovered surprisingly well-established networks of Muslim militants with potential to commit terrorist acts and affiliations that stretch across Europe to operatives in North America, North Africa, Middle East and Central Asia; disagree over extent to which Europe is actually more vulnerable to terrorism since Sept 11; map shows recent law enforcement activity against suspected terrorists in Europe (M)",2002,FALSE
"8","Nonemergency track work in New York City subway system is halted after second worker in two days is struck and killed by train in Manhattan; New York City Transit calls for 24-hour freeze to conduct review of safety procedures as transit union officials instruct track crews to stop all work, raising specter of major delays; cause of latest accident is under investigation; worker Kurien Baby was in tunnel 100 feet south of Canal St station when northbound E train hit him at 10:30 pm on Nov 22; both Baby and worker killed day earlier, Joy Antony, were assigned to small cleaning-and-maintenance crews that do not have member dedicated to flagging oncoming trains and alerting them to crew's presence; union officials say deaths could have been prevented had transit agency followed its own guidelines and assigned person to watch for trains while workers were on tracks; photos (M)",2002,FALSE
"10","New York City police department will assign more uniformed and undercover officers to Times Square in response to reports of increased prostitution and low-level drug dealing (S)",2002,FALSE
"11","Thailand, with nearly $7 billion in tourism revenue annually, anxiously seeks to refute warnings of those who put it at top of list of terrorist warnings following attack on Bali last month; military has begun a 'Thailand is safe' campaign and Thai Tourism Authority has budgeted more than $1 million for blitz of foreign tour companies; map (M)",2002,FALSE
"12","Police in Cincinnati retreat from 'proactive' patrols in black neighborhoods, saying they fear fresh charges of racism in city that was traumatized by street clashes and vandalism in April; since then, there has been six-fold increase in shooting incidents citywide, with all but one victim black; this has further polarized city; Keith A Fangman, president of Fraternal Order of Police union, says police are 'shellshocked' by lack of political support and rising tide of investigations and complaints; insists that 50-percent drop in arrests since mid-April is not job action; there has also been 55 percent decline in traffic stops, tactic that Fangman defends as crucial to policing but that blacks often call harassment rooted in racial profiling; black civic and church leaders accuse police of shirking their duty out of resentment toward investigations by Dept of Justice and FBI into accusations of brutality, as well as toward growing docket of civil lawsuits that allege abuses; police chief, Tom Streicher, expresses sympathy for his officers; photos (M)",2001,FALSE
"13","Recent changes in New York State law are expected to double number of parents requesting government help with their runaway, truant or delinquent teenagers, straining child welfare services at time of budget cuts; potential flood of children 16 to 18 years old--often toughest teenagers to reach--could cause increase in total number entering foster care, after five years of declines; under state law, any parent can demand that city help supervise and even take custody of any child who is considered 'truant,' 'ungovernable' or 'incorrigible' (M)",2002,FALSE
"14","Correction of entry in Sept 22 Television sectionschedule of programs",2002,FALSE
"15","ChevronTexaco's relationship with Nigeria's poor comes under scrutiny in wake of occupation of its terminal in Niger Delta by most of women from village of Ugborodov, who saw for first time how Americans who work there live and how little their lives have benefited from company's four-decade-long presence; Chevron keeps 40 percent of oil revenue it generates in Nigeria and gives 60 percent to Nigerian government, which has spent little of its share to improve lives of its people; Chevron chief executive, David J O'Reilly, acknowledges company's obligation to raise standard of living in Nigeria; photos; map (L)",2002,FALSE
"16","Most Americans will see few signs that nation has moved to highest state of alert since Sept 11 attacks because state and local police agencies were already strengthening security for anniversary; photo; these officials say Atty Gen John Ashcroft and homeland security director Tom Ridge have provided no evidence that threat has increased in last 48 hours; Gov George Pataki says New York City is already at equivalent of orange alert; other governors also comment (M)",2002,FALSE
"17","Recent violence in streets of poorest neighborhoods of Newburgh, NY, echoes 1970's, when city experienced disturbances in streets and in schools at time when population was declining, many white residents were moving to surrounding towns and urban renewal was forcing many black residents from their homes; then and now, Hispanic and African-American residents complained of underrepresentation in police department and in government; Mayor Andrew Marino contends that racial issues and tensions that marked disturbances in 1970's are not evident now; notes number of African-Americans elected to city posts; photos; map (M)",2002,FALSE
